1,0,,,,,,,,,,,,,,,,,,
2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2
2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2
2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2
2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2
2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2
2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2
2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2
2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2
2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2
2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2
2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2
2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,
9,13,1,2,0,,,,,,,,,,,,,,,
14,5,0,5,0,,,,,,,,,,,,,,,
9,4,0,5,0,,,,,,,,,,,,,,,
2,10,0,9,0,,,,,,,,,,,,,,,
10,7,0,5,0,,,,,,,,,,,,,,,
13,6,0,5,0,,,,,,,,,,,,,,,
5,8,0,7,0,,,,,,,,,,,,,,,
6,9,0,11,0,,,,,,,,,,,,,,,
2,3,0,5,0,,,,,,,,,,,,,,,
3,6,0,7,0,,,,,,,,,,,,,,,
8,11,0,11,0,,,,,,,,,,,,,,,
8,2,0,11,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,
